year,quarter,delay_status,total_sales,proportion
2018,3,no_delay,8492035538.86,0.9579756480829604
2018,3,short_delay,152865047.42000002,0.01724451012967213
2016,4,no_delay,242708603.58,1.0
2017,1,long_delay,10069397.6,0.001984301126175632
2017,1,no_delay,5061027128.52,0.9973388905337955
2017,1,short_delay,3434484.9099999997,0.000676808340028823
2017,2,long_delay,55915930.550000004,0.005189015001034153
2017,2,no_delay,10710929327.2,0.9939774301736528
2017,2,short_delay,8982243.01,0.0008335548253130906
2017,3,long_delay,247670051.7,0.026141694309408325
2017,3,no_delay,9138622128.26,0.9645860064483825
2017,3,short_delay,87847054.03999999,0.009272299242208917
2017,4,long_delay,758469370.55,0.057301216293392826
2017,4,no_delay,12355151758.36,0.9334130694428727
2017,4,short_delay,122910651.96000001,0.009285714263734533
2018,1,long_delay,2298760112.92,0.1419015420218754
2018,1,no_delay,13758678124.82,0.8493176957097083
2018,1,short_delay,142245572.36,0.008780762268416271
2018,2,long_delay,15014288949.89,0.10468314329955457
2018,2,no_delay,128382503082.49,0.895112916248909
2018,2,short_delay,29250371.85,0.00020394045153641728
2018,3,long_delay,209997725.79,0.022269705912996252
2018,3,no_delay,9155113990.13,0.9708757339783607
2018,3,short_delay,64636777.86,0.006854560108642914
2016,4,no_delay,123850146.89999999,1.0
2017,1,long_delay,72287600.3,0.026572388690484408
2017,1,no_delay,2645193651.75,0.9723536759305434
2017,1,short_delay,2921536.8,0.001073935378971959
2017,2,long_delay,71428351.98,0.014248564861480508
2017,2,no_delay,4939657097.84,0.9853653710469635
2017,2,short_delay,1935347.32,0.00038606409155616183
2017,3,long_delay,50422530.17,0.0020253606034783935
2017,3,no_delay,24824598805.33,0.9971487794832367
2017,3,short_delay,20560262.86,0.0008258599132849505
2017,4,long_delay,1189744149.1399999,0.08288048380127187
2017,4,no_delay,12941925635.43,0.9015661550089306
2017,4,short_delay,223267524.83,0.015553361189797632
2018,1,long_delay,840628358.42,0.050035633609547416
2018,1,no_delay,11152468218.65,0.6638139292366002
2018,1,short_delay,4807497275.3,0.2861504371538524
2018,2,long_delay,507545900.96,0.03253073944614567
2018,2,no_delay,15038514180.18,0.9638812677381031
2018,2,short_delay,55980007.75,0.00358799281575123
2018,3,long_delay,60030389.04,0.006241778347114416
2018,3,no_delay,9516932196.05,0.9895418347643768
2018,3,short_delay,40551158.85,0.004216386888508613
2016,4,no_delay,22144974.81,0.9643062361348516
2016,4,short_delay,819695.52,0.03569376386514842
2017,1,long_delay,23498093.67,0.003906175059516761
2017,1,no_delay,5990852793.28,0.9958816274625335
2017,1,short_delay,1276500.96,0.00021219747794975924
2017,2,long_delay,57740541.44,0.00730300096691449
2017,2,no_delay,7832856306.37,0.9906965842806335
2017,2,short_delay,15816105.11,0.0020004147524521586
2017,3,long_delay,130096901.61,0.0172378671028607
2017,3,no_delay,7377934208.15,0.9775778500474581
2017,3,short_delay,39126600.28,0.005184282849681253
2017,4,long_delay,1845347064.35,0.10329684607328232
2017,4,no_delay,15784690200.66,0.8835783498245897
2017,4,short_delay,234468133.74,0.0131248041021279
